Column1,Column2
) for {0},) cho {0}
A {0} exists between {1} and {2} (,Đã tồn tại {0} trong khoảng từ {1} đến {2} (
Absent,Vắng mặt
Accrual Journal Entry for salaries from {0} to {1},Bút toán kết chuyển lương từ {0} đến {1}
Add to Details,Thêm vào chi tiết
Added to details,Đã thêm vào chi tiết
All Jobs,Tất cả công việc
Allocated Leaves,Nghỉ phép đã phân bổ
Annual Salary,Lương hằng năm
Application period cannot be across two allocation records,Thời gian đăng ký không được nằm trên hai bản ghi phân bổ khác nhau
Application period cannot be outside leave allocation period,Thời gian đăng ký không được nằm ngoài thời gian phân bổ nghỉ phép
Apply Now,Đăng ký ngay
Apprentice,Học việc
Approval Status,Trạng thái phê duyệt
Approval Status must be 'Approved' or 'Rejected',Trạng thái phê duyệt phải là “Approved” hoặc “Rejected”
As per your assigned Salary Structure you cannot apply for benefits,"Theo cấu trúc lương được gán, bạn không thể đăng ký phúc lợi"
Assign,Gán
Assign Salary Structure,Gán cấu trúc lương
Assign to Employees,Gán cho nhân viên
Assigning Structures...,Đang gán cấu trúc...
Attendance,Chấm công
Attendance From Date and Attendance To Date is mandatory,Bắt buộc phải có ngày bắt đầu và ngày kết thúc chấm công
Attendance for employee {0} is already marked for this day,Chấm công cho nhân viên {0} đã được ghi nhận trong ngày này
Attendance not submitted for {0} as it is a Holiday.,Chấm công cho {0} chưa được nộp vì đây là ngày nghỉ lễ
Bank Entries,Bút toán ngân hàng
Base,Cơ bản
Beginner,Người mới
Birthday Reminder,Nhắc sinh nhật
Bonus Payment Date cannot be a past date,Ngày thanh toán thưởng không được là ngày trong quá khứ
Calls,Cuộc gọi
Cannot find active Leave Period,Không tìm thấy kỳ nghỉ phép đang hoạt động
Casual Leave,Nghỉ phép thường
Claimed Amount,Số tiền yêu cầu
Compensatory Off,Nghỉ bù
Contact Number,Số điện thoại liên hệ
Course,Khóa học
Create Disbursement Entry,Tạo bút toán chi trả
Create Salary Slip,Tạo phiếu lương
Create Salary Slips,Tạo các phiếu lương
Creating Payment Entries......,Đang tạo bút toán thanh toán......
Creating Salary Slips...,Đang tạo phiếu lương...
Current,Hiện tại
Current Job Openings,Vị trí tuyển dụng hiện tại
Daily Work Summary,Tổng hợp công việc hằng ngày
Daily Work Summary Group,Nhóm tổng hợp công việc hằng ngày
Date is repeated,Ngày bị trùng lặp
Debit A/C Number,Số tài khoản ghi nợ
